,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
345,Morgan City,1,US,1580704052,100,29.7,-91.21,14.44,1.5
346,Tandil,13,AR,1580703786,74,-37.32,-59.13,20.0,3.88
347,Te Anau,100,NZ,1580704053,97,-45.42,167.72,13.79,1.97
348,Coquimbo,90,CL,1580703862,82,-29.95,-71.34,18.0,2.1
349,Kintampo,0,GH,1580704053,12,8.06,-1.73,21.43,1.88
350,Alegrete,0,BR,1580704053,44,-29.78,-55.79,24.48,5.65
351,Kralendijk,5,BQ,1580704053,78,12.15,-68.27,27.0,6.7
352,Ampanihy,0,MG,1580704054,59,-24.7,44.75,22.12,2.5
353,Opuwo,46,NA,1580704054,52,-18.06,13.84,20.95,1.29
354,Boa Vista,43,BR,1580704054,57,2.82,-60.67,26.0,4.1
355,Touros,40,BR,1580704054,88,-5.2,-35.46,26.0,1.5
356,Kailua,75,US,1580703810,73,21.4,-157.74,26.0,4.1
357,Sao Miguel do Iguacu,1,BR,1580704054,94,-25.35,-54.24,22.0,1.5
358,Mezen,100,RU,1580704055,94,65.85,44.24,-7.25,4.63
359,Hervey Bay,0,AU,1580704055,46,-25.3,152.85,33.33,6.2
360,Bulgan,0,MN,1580704055,87,48.81,103.53,-20.74,1.11
361,Kvitok,0,RU,1580704055,93,56.07,98.48,-27.69,3.01
362,Omboue,100,GA,1580704056,94,-1.57,9.26,23.81,1.57
363,Tazovsky,100,RU,1580704056,94,67.47,78.7,-19.88,7.82
364,Slave Lake,40,CA,1580704056,78,55.28,-114.77,-12.0,10.3
365,Soe,100,ID,1580704056,68,-9.86,124.28,29.14,3.21
366,Sinnamary,31,GF,1580704056,77,5.38,-52.95,26.15,6.27
367,Navan,20,IE,1580704057,81,53.65,-6.68,7.22,6.7
